state,month,year,number
Acre,Janeiro,2003,1
Acre,Janeiro,2005,1
Acre,Janeiro,2006,1
Acre,Janeiro,2010,1
Acre,Janeiro,2015,1
Acre,Janeiro,2016,1
Acre,Fevereiro,2002,1
Acre,Fevereiro,2004,1
Acre,Fevereiro,2007,1
Acre,Fevereiro,2009,1
Acre,Fevereiro,2015,1
Acre,Fevereiro,2016,1
Acre,Fevereiro,2017,1
Acre,Março,2000,1
Acre,Março,2005,1
Acre,Março,2007,1
Acre,Março,2009,1
Acre,Março,2012,1
Acre,Março,2013,1
Acre,Março,2014,1
Acre,Março,2015,1
Acre,Abril,2000,1
Acre,Abril,2003,1
Acre,Abril,2004,1
Acre,Abril,2005,1
Acre,Abril,2010,1
Acre,Abril,2011,1
Acre,Abril,2012,1
Acre,Abril,2013,1
Acre,Abril,2014,1
Acre,Abril,2015,1
Acre,Abril,2017,1
Acre,Maio,2000,1
Acre,Maio,2003,1
Acre,Maio,2004,1
Acre,Maio,2005,1
Acre,Maio,2006,1
Acre,Maio,2007,1
Acre,Maio,2009,1
Acre,Maio,2010,1
Acre,Maio,2011,1
Acre,Maio,2012,1
Acre,Maio,2013,1
Acre,Maio,2014,1
Acre,Maio,2015,1
Acre,Maio,2016,1
Acre,Maio,2017,1
Acre,Junho,1998,1
Acre,Junho,2000,1
Acre,Junho,2001,1
Acre,Junho,2004,1
Acre,Junho,2005,1
Acre,Junho,2006,1
Acre,Junho,2007,1
Acre,Junho,2010,1
Acre,Junho,2011,1
Acre,Junho,2012,1
Acre,Junho,2013,1
Acre,Junho,2014,1
Acre,Junho,2015,1
Acre,Junho,2016,1
Acre,Junho,2017,1
Acre,Julho,1998,1
Acre,Julho,1999,1
Acre,Julho,2000,1
Acre,Julho,2001,1
Acre,Julho,2002,1
Acre,Julho,2003,1
Acre,Julho,2004,1
Acre,Julho,2005,1
Acre,Julho,2006,1
Acre,Julho,2007,1
Acre,Julho,2008,1
Acre,Julho,2009,1
Acre,Julho,2010,1
Acre,Julho,2011,1
Acre,Julho,2012,1
Acre,Julho,2013,1
Acre,Julho,2014,1
Acre,Julho,2015,1
